28/10/24 02:10 - Pika:  SHIIIIIIIIT 
04/08/24 10:14 - Pika:  Gerardo 
06/03/23 16:26 - Pika:  Pacstian 
04/08/23 04:50 - Pika:  No ma 
19/05/23 08:08 - Pika:  No ma 
04/03/24 18:49 - Pika:  En serio que mala materia 
31/07/23 10:56 - Pika:  Es incluso peor q Waos 
03/12/23 11:25 - Pika:  Solo la cerraron para entrada vehicular 
28/05/23 19:12 - Pika:  Caminando si puedes entrar 
14/02/23 14:21 - Pika:  No ma 
24/02/23 13:47 - Pika:  Esta cabron 
24/02/23 08:27 - Pika:  Q estan haciendo dogo? 
26/08/23 19:12 - Pika:  No ma 
18/09/23 00:35 - Pika:  Hola chicas 
22/05/24 15:40 - Pika:  Oigan 
13/01/23 08:12 - Pika:  Encontré esa IA de google que ayuda para redactar el protocolo 
05/06/24 23:47 - Pika:  Puedes subirle 50 articulos alv y le puedes ir pidiendo cosas jejeje 
17/11/23 05:27 - Pika:  Osea tipo que te explicque mejorun parrafo que te diga un resumen,los punto clave etc etc 
30/04/23 14:56 - Pika:  Gracias gsu manue 
27/01/24 00:02 - Pika:  Vete a la verga 
10/02/24 21:41 - Pika:  Is_hot es de es_caliente 
07/08/23 17:18 - Pika:  Wow 
06/03/24 22:21 - Pika:  Quien fue el cabron que se le ocurrió? 
15/11/23 13:01 - Pika:  En serio un genio de la comedia 
15/01/23 10:10 - Pika:  No maaaaa no abr 
19/10/23 07:37 - Pika:  Oigan 
22/06/23 10:37 - Pika:  Que pusieron en su formulario de mañana? 
10/05/23 00:28 - Pika:  @5217444072924 @5215533980587 @5215530240240 @5215535831468 
25/08/24 18:57 - Pika:  Ah va 
30/11/23 04:11 - Pika:  Pusieron lo de alisado simple? 
07/01/23 17:42 - Pika:  Ah va 
14/09/24 03:57 - Pika:  No 
07/07/23 13:15 - Pika:  Hay que darle sus nalgadas al examen 
11/08/24 19:38 - Pika:  Por cada curso 
03/02/24 15:02 - Pika:  Pensé que estaría Moo veces peor 
21/04/23 05:25 - Pika:  La Vd si 
08/06/23 16:32 - Pika:  En modelado si pondré atención y alv en ia voya hacer el protocolo 
10/06/24 08:06 - Pika:  Siiii dogoooo 
07/08/23 09:42 - Pika:  Q pacho 
27/11/23 05:16 - Pika:  No ma 
12/05/23 18:44 - Pika:  Ola dogo 
31/08/23 05:34 - Pika:  Q pachó 
05/03/23 09:39 - Pika:  No ma entonces porque no fuiste hoY? 
13/10/23 20:44 - Pika:  No ma 
21/02/23 18:15 - Pika:  Ele xamen estuvo bn tranqui 
17/12/23 08:31 - Pika:  Literal era la copia de los ejercicios 
21/08/24 11:12 - Pika:  De los ejercicios venían el 7 el 8 y unos muuuuuuuuy similares al 3 y 5 
05/06/23 08:13 - Pika:  Y uno que no venia 
08/07/23 22:42 - Pika:  Igual mañana dile al profe 
28/12/23 16:26 - Pika:  Pero que bueno que estasw bn amigo 
18/07/23 03:09 - Pika:  Los mande en discord gsu 
22/07/23 14:08 - Pika:  Con respuestas dudosas 
21/01/23 08:09 - Pika:  Los dejamos a tu consideración amigo 
02/10/24 08:32 - Pika:  Mañe 
26/04/24 09:10 - Pika:  Tambn estan en discord amigo 
10/10/24 22:21 - Pika:  Canal god de tiempo 
16/03/24 10:14 - Pika:  Dnd gsu 
26/05/23 21:46 - Pika:  Mo ma 
22/02/23 03:48 - Pika:  Mándalo otra vez 
31/07/24 17:16 - Pika:  Mmmvreo q mo 
02/04/24 08:43 - Pika:  Pero mañana vemos 
18/01/24 12:19 - Pika:  Pi 
06/05/23 08:21 - Pika:  Gracias 
16/02/24 17:46 - Pika:  Oigan 
02/03/23 21:07 - Pika:  Tienen ejemplos de protocolos? 
07/03/23 09:57 - Pika:  Es que no ma los que me pasaron mis directores la parte de productos estan bn rancios de que  es una foto 
09/05/24 11:55 - Pika:  Gracias amigos 
09/06/23 20:18 - Pika:  no habia visto 
04/09/24 04:17 - Pika:  Oigan fritos 
01/02/24 07:30 - Pika:  Deq es su tete? 
31/01/24 09:09 - Pika:  alv 
10/11/23 01:16 - Pika:  Yo estoy en el punto 4 
31/05/24 18:18 - Pika:  Tu director de tete si debería saber xd 
13/02/23 07:37 - Pika:  weno yo digo 
01/05/24 07:45 - Pika:  Lorem ipsum dolor sit amet 
01/07/24 21:09 - Pika:  Si se quedaron con Claudia Blanquel??? 
29/09/23 20:02 - Pika:  oYE SACUM 
07/02/24 09:54 - Pika:  Puedes pasar las notas de lo de las gammas de hoy?? 
01/02/24 21:52 - Pika:  pORFAS 
30/09/24 01:02 - Pika:  Gracias 
21/05/23 08:19 - Pika:  XD 
31/03/24 07:51 - Pika:  Es que me sentí mal 
31/08/23 14:10 - Pika:  Porque lo mandó la awelita de Mariana 
21/05/23 13:06 - Pika:  weno 
29/11/23 16:24 - Pika:  lo voy a reenviAR 
16/08/23 05:33 - Pika:  Siiiiiiiiiiiii 
21/03/23 02:38 - Pika:  Como sabes que salió una kalmacancion? 
17/08/24 09:49 - Pika:  Pero ya viste que salgo en el vídeo? 
25/02/24 01:54 - Pika:  :o 
09/07/23 09:39 - Pika:  Abr en donde salgo 
28/03/23 18:45 - Pika:  Jejejeje ni lo habías visto canijo 
06/09/23 01:27 - Pika:  Pero si salgo jajajaj 
09/08/24 04:30 - Pika:  Solo que 1 fracción de segundo 
07/02/24 20:19 - Pika:  ño 
09/04/24 23:54 - Pika:  jejeje 
16/04/23 21:26 - Pika:  porque mi protocolo no esta 🙁 
01/06/24 08:16 - Pika:  q umilde pinche roris 
06/05/24 20:54 - Pika:  Mi peor enemiga 
13/10/24 18:34 - Pika:  vente pinche Caro 
07/09/24 21:35 - Pika:  Vava 
16/01/23 14:58 - Pika:  npi 
31/10/24 13:34 - Pika:  Depende la posicióon 
11/02/23 10:19 - Pika:  mMMM PROBABLEMENTE SI 
28/09/24 21:40 - Pika:  Depende la vacante 
12/11/23 08:01 - Pika:  Pero vi que puedo referir para empleados e interns 
24/08/23 20:47 - Pika:  No ma enserio nadie le pone atención 
15/01/24 10:09 - Pika:  Es que enserio es demasiado mala  dando teoría 
13/08/23 21:07 - Pika:  Epale 
03/10/24 02:38 - Pika:  gracias 
28/07/23 15:07 - Pika:  Valores optimos con los que podemos trabajar el z score 
14/11/23 05:32 - Pika:  Es que bueno 
09/06/24 19:55 - Pika:  También puedes hacer algo medio acá  XD y después en la segunda etapa de revisión ya hacerlo bien 
05/10/23 20:30 - Pika:  Oigan amigos 
25/03/24 08:48 - Pika:  En donde se sube el protocolo? 
20/01/23 07:24 - Pika:  xd 
25/01/24 12:57 - Pika:  ? 
01/07/24 12:34 - Pika:  Etel roro? 
02/12/23 10:41 - Pika:  Pq 
12/08/23 02:44 - Pika:  Only replublic indian 
13/01/23 04:35 - Pika:  o 
10/08/23 06:46 - Pika:  La Vd caro creo que si se lo vas a decir porque te gusta un 10 pero si se lo dices porque es tu amiga un 1 
02/05/24 11:03 - Pika:  Hola 
23/09/23 17:56 - Pika:  Sacum 
08/12/23 02:07 - Pika:  Perodn se me olvidó mandar el libro y apenas me CORDE 
12/10/24 22:19 - Pika:  oh 
09/04/23 15:17 - Pika:  Me descubriste le metí 1 trojano 
28/03/23 15:07 - Pika:  jeje 
17/11/23 08:50 - Pika:  F 
22/06/23 21:00 - Pika:  Ahora estás en la bd de ph 
22/07/23 05:04 - Pika:  Yyyyyyyy 
21/11/23 16:16 - Pika:  Q ibas a decir 
14/06/24 08:22 - Pika:  Yyyyyyy 
01/04/23 02:15 - Pika:  uSA LA PRUEBA GRATIS DE 14 DÍAS 
30/04/24 09:16 - Pika:  y DESPUES TODAS LAS PRÁCTICAS ME LAS AVENTÉ EN LA PUTAS COMPUS DE LOS LABS 
25/01/23 15:06 - Pika:  chi 
03/08/24 01:11 - Pika:  Proporcion 1:500 
08/02/24 23:56 - Pika:  Hola 
23/12/23 04:12 - Pika:  Tão 
01/09/23 21:53 - Pika:  Voy 
24/06/23 00:39 - Pika:  Que onda amigo 
01/07/23 20:09 - Pika:  Hasta eso no tanto 
31/12/23 08:05 - Pika:  Pero no anda quedando bien 
06/02/24 10:19 - Pika:  Las pólizas 
10/09/24 08:12 - Pika:  Las que se supone que son las faciles, no andan quedando bien 
25/01/23 13:17 - Pika:  Tengo que generarles el suplemento manualmente 
22/01/24 22:03 - Pika:  sip 
13/09/23 20:55 - Pika:  solo es traspasarlas 
10/01/23 12:58 - Pika:  Vientos 
28/06/24 00:07 - Pika:  Te sale eso amigo? 
09/05/23 09:03 - Pika:  Me dijo Raulito que hay que hacer de 2 
18/02/23 05:40 - Pika:  mejor 
23/06/23 18:27 - Pika:  vava 
15/09/24 17:33 - Pika:  Que onda amigo 
19/03/24 10:28 - Pika:  Perdón es que hoy es el cumpleaños de mi papá y le partieron pastel 
10/03/23 11:27 - Pika:  Pero ya estoy de regreso que pacho amigo 
12/04/24 17:40 - Pika:  Amigo 
15/03/23 23:34 - Pika:  Era para lo de raul jejeje 
17/10/24 09:19 - Pika:  Hola amigo 
26/08/23 21:08 - Pika:  Buenos días 
07/07/23 15:20 - Pika:  Yo tampoco he entrado pero supongo que Raulito nos dirá alguna actualización 
12/10/23 23:47 - Pika:  XD 
16/03/23 07:00 - Pika:  Si pasa 
02/04/24 10:45 - Pika:  Igual creo que no es necesario 
03/09/24 08:35 - Pika:  Simón amigo 
21/03/23 09:06 - Pika:  A esperar a Raúl 
04/04/24 07:07 - Pika:  Nop 
16/07/24 07:21 - Pika:  Solo me pidió los cambios del otro día 
26/01/23 18:17 - Pika:  No ma 
06/03/24 20:57 - Pika:  Parece que se estan peleando jajaj xd 
18/06/24 14:06 - Pika:  Es que creo que hay un tema con la peticion que traen ellos 
01/04/24 06:55 - Pika:  Pero si se ve que ya se hartaron 
31/05/24 10:13 - Pika:  No ma si se escuchan bien enojados 
06/02/23 03:39 - Pika:  F ajajaja 
21/09/24 00:44 - Pika:  --SELECT NUM_POLIZA, NUM_SPTO, FEC_EMISION_SPTO, FEC_EFEC_SPTO, FEC_VCTO_SPTO, TIP_SPTO, TXT_MOTIVO_SPTO FROM a2000030 where cod_cia = 1 and num_poliza like 'poliza'; 
18/02/24 13:27 - Pika:  Sip voy 
31/10/23 05:56 - Pika:  No ma, parece que en este proyecto te explotan 
14/03/23 07:05 - Pika:  Jajajajaja 
09/04/23 21:01 - Pika:  A mi corta edad de 21 años la paga es buena por lo que hago jajajaja 
25/02/23 06:43 - Pika:  ALV 
24/04/23 21:58 - Pika:  No maaaa ya escuchaste eso? 
11/02/23 03:17 - Pika:  ALV X2 
22/06/24 20:19 - Pika:  Se me murió un ídolo 
04/05/23 15:52 - Pika:  El Zahuí xd 
11/01/24 17:14 - Pika:  Que onda amigooo 
27/08/23 02:27 - Pika:  Es que me dijeron que iba a entrar en Enero jejeje 
17/03/23 08:59 - Pika:  Tu ya vas a entrar este mes vd? 
13/10/23 18:27 - Pika:  Pues la vd bueno para mi porque me da chance de avanzar un buen de trámites 
10/03/23 08:01 - Pika:  En la escuela como lo del servicio social y las estancias profesionales 
03/07/24 13:25 - Pika:  Pues en realidad no le pedí nada solo le avisé que eso me dijo minerva pero que iba a ver si se podía pedir una extensión 
03/10/24 18:08 - Pika:  Pero me dijo que no 
18/02/23 17:31 - Pika:  Bueno minerva me dijo uqe no se podía pedir la extensión 
22/01/24 02:21 - Pika:  Simon 
09/12/23 12:31 - Pika:  Que onda amigo 
12/08/23 03:54 - Pika:  Cómo va todo? 
14/02/23 22:47 - Pika:  Oye me pidió Mario que te enseñara como mandar los reportes 
13/01/24 16:37 - Pika:  Puedes de una???:) 
16/04/24 15:16 - Pika:  Vavava 
17/03/24 00:52 - Pika:  Dame 5 
07/02/23 00:28 - Pika:  Se cancela 
23/06/23 23:03 - Pika:  Deja te mando la sesión amigo 
13/04/23 16:31 - Pika:  Simon simon 
04/06/23 21:53 - Pika:  Hola Ian 
27/03/24 17:03 - Pika:  Cómo va todo?:) 
30/09/24 13:36 - Pika:  Simon amigo 
15/10/24 02:51 - Pika:  Vava, me avisas amigo :) 
15/03/23 15:12 - Pika:  Oki 
19/05/24 12:41 - Pika:  Vava 
21/06/24 04:30 - Pika:  Que onda amigo 
29/04/24 00:43 - Pika:  Cómo va todo? 
13/06/24 14:48 - Pika:  Bien amigo todo bien 
22/03/24 14:35 - Pika:  Oye quieres que nos subamos a la sesión para ver lo de los reportes?🙂 
29/02/24 20:17 - Pika:  Vale amigo 
16/02/23 20:49 - Pika:  Vava 
09/11/23 16:54 - Pika:  Dame 5 
14/10/23 10:55 - Pika:  ya amigo 
10/08/24 03:17 - Pika:  vava jajaja 
24/02/24 13:16 - Pika:  Hola amigo 
07/08/24 12:28 - Pika:  Sip 
21/07/24 05:10 - Pika:  Ese script me lo pidieron recién nos cambiaron al am 
28/02/24 05:18 - Pika:  En el código 
11/09/24 22:16 - Pika:  Puse un comentario de aquí va la cuenta 
19/02/23 00:37 - Pika:  O la póliza algo así 
10/07/23 02:00 - Pika:  Y ahí pones la cuenta que te pidieron 
22/02/24 19:38 - Pika:  Sip 
03/05/23 20:29 - Pika:  Es que ese bro hizo el script original y yo lo modifiqué con Juan Pa 
02/03/24 20:40 - Pika:  Sip 
15/02/24 17:25 - Pika:  Igual, en lugar de póliza ponle cuenta jejejeje 
04/07/24 00:09 - Pika:  Y el resultado del script lo ves en fillezilla 
26/03/23 00:08 - Pika:  Buenos días bebé 
04/05/23 00:21 - Pika:  Sip 
18/02/23 22:08 - Pika:  Y ahorita lo imprimo 
02/12/23 12:03 - Pika:  Vas a venir tu sola? 
21/05/23 02:06 - Pika:  Vale ya lo imprimí 
06/03/24 19:40 - Pika:  Gracias cariño mío 
15/05/23 04:36 - Pika:  Con cuidado 
07/10/23 20:35 - Pika:  Como vas bn? 
07/04/23 01:11 - Pika:  Q bueno amor 
19/02/24 05:58 - Pika:  Me quede dormido apenas voy a la escuela 
09/03/23 01:49 - Pika:  Ya llegué bebé 
28/07/23 03:31 - Pika:  Llegué bn tarde 
07/09/23 15:39 - Pika:  Pero ya estoy aquí 
07/03/23 05:43 - Pika:  Dnd cariño 
26/05/24 06:22 - Pika:  Te adoro 
30/06/23 21:23 - Pika:  Poeque mi amor? 
06/06/24 00:27 - Pika:  Que pasó? 
04/07/24 20:14 - Pika:  Porque te sientes mal? 
17/08/24 22:05 - Pika:  Si cariño 
08/08/24 14:21 - Pika:  Yo mas 
25/03/23 00:53 - Pika:  Esta bn bebé 
17/03/24 20:56 - Pika:  Que pasa mi amor? 
18/02/23 19:55 - Pika:  Porque bebé? 
22/11/23 03:20 - Pika:  Por qué bebé? 
25/03/24 03:20 - Pika:  Pero porque mi cielo? 
09/01/23 03:44 - Pika:  Que pasa mi vida? 
01/09/24 16:22 - Pika:  Porque no me dices? 
27/05/24 13:20 - Pika:  Bueno, primero no te sientas mal bebé al final quien se equivocó fue ella al no decirte, en todo caso a mo mejor debiste decirle de hacerla en zoom o algo así pero pues no está bn que te cancele así y que ademas no te contesté sobre todo cuando es un proyecto 
28/09/23 00:43 - Pika:  Y de lo de la café no entendí bebé ósea sentiste feo porque estaba con Dani en vez de con el doctor? 
04/11/23 07:20 - Pika:  Y pues si estan payasas porque no les dices que q tienen? 
29/05/24 09:20 - Pika:  Ay mi amor 
20/04/23 21:13 - Pika:  Al ratito quieres te vaya a ver a tu casa? 
29/07/23 03:35 - Pika:  O quieres salir? 
31/08/23 15:41 - Pika:  O no quieres que nos veamos hoy? 
21/09/23 20:15 - Pika:  Entonces eso está peor bebé 
15/09/24 02:00 - Pika:  Y no le dijiste que te hizo enojar bebé? 
22/06/24 13:40 - Pika:  Mmmm entiendo, chale mi amor a lo mejor si se siente mal 
12/01/23 12:48 - Pika:  A parte tambn no se pueden enojar contigo porque literal les hiciste la tarea xd 
16/11/23 00:29 - Pika:  Y pues no entiendo porque Dani está medio payasa contigo bebé 
10/03/23 12:58 - Pika:  Y que te dijo? 
16/02/24 18:03 - Pika:  Ah yaya 
04/01/23 03:39 - Pika:  Te amo 
26/07/24 08:19 - Pika:  Mmm pues es que de todos modos era en equipo 
21/07/24 14:53 - Pika:  Mmm pero si tienes motivos para Erasto enojada con ellas 
31/03/23 20:22 - Pika:  Bueno molesta 
09/09/24 11:58 - Pika:  ❤️ 
22/10/24 08:44 - Pika:  Yo lo sé 
01/01/23 07:03 - Pika:  Pero bebé ya pensé en un plan 
29/05/23 15:52 - Pika:  No hagas planes el Sábado 
28/07/24 02:34 - Pika:  Yo hablo con tu mamá 
05/07/24 05:41 - Pika:  Y le dijo a donde vamos jejeje porque es sorpresa 
28/04/24 01:00 - Pika:  No he datilado nada 
10/03/24 17:21 - Pika:  Desayunado 
29/04/24 05:56 - Pika:  Porque mi amor? 
31/05/23 14:04 - Pika:  No bebé no pienses en eso 
08/01/24 09:11 - Pika:  Piensa como que solo es una pequeña pelea no creo que así sea la dinámica siempre bebé 
17/05/24 21:12 - Pika:  Yo se que las quieres mucho 
21/08/24 18:45 - Pika:  Porque no le pides una opinión a yiyi bebé? 
18/02/24 12:06 - Pika:  Esq ella las conoce mejor mi amor 
12/01/24 19:10 - Pika:  Si bebé 
29/12/23 23:28 - Pika:  Pero es en la noche mo? 
29/01/24 11:14 - Pika:  Vale bebé 
22/02/24 12:08 - Pika:  Reina 
22/10/23 16:42 - Pika:  Teins 
26/03/24 05:28 - Pika:  Oh no bebé 
11/10/23 23:15 - Pika:  Mmm pues talvez mantente firme en tu decisión bebé 
02/02/24 18:52 - Pika:  Si 
18/10/24 04:37 - Pika:  Te amo 
11/05/23 00:56 - Pika:  Dame 2 a mi bebé 
04/05/24 23:00 - Pika:  Es que ya empezó la clase 
25/01/23 09:38 - Pika:  Y no entiendo nada 😭😭😭😭 
21/08/23 20:35 - Pika:  Qn? 
02/04/23 04:01 - Pika:  No les hagas caso con eso bebé 
24/10/23 01:30 - Pika:  Ay no bebé 
26/12/23 02:00 - Pika:  No te lo tomes personal 
10/07/24 12:14 - Pika:  Siento que así es gigi bebé 
12/04/24 16:30 - Pika:  Ósea si vocibalior 
31/10/24 04:20 - Pika:  Te amo 
31/08/24 19:09 - Pika:  Dame 2 preciosaaaa 
07/03/23 04:14 - Pika:  Ah vale yo pensaba or en el día 
07/06/23 12:57 - Pika:  Si cariño 
25/11/23 15:58 - Pika:  Ya estas con ella? 
18/10/23 14:28 - Pika:  Mmm esta bn 
23/06/23 11:04 - Pika:  ❤️ 
21/03/23 09:08 - Pika:  Muy bn bebé? 
11/08/23 20:11 - Pika:  Si bebé 
04/09/23 10:53 - Pika:  Ah muy bn 
15/02/23 00:04 - Pika:  Pues si a nadie bebé 
01/01/23 10:02 - Pika:  Porque bebé? 
04/12/23 10:49 - Pika:  S me olvidó decirte cuando salí de la escuela 
09/05/23 04:47 - Pika:  Pero ya llegué a mi casa bebe 
27/04/23 20:01 - Pika:  Si amor 
18/05/24 19:54 - Pika:  Mande bebé 
26/07/23 00:54 - Pika:  Si 
16/10/23 03:47 - Pika:  Aaaah 
02/03/23 23:00 - Pika:  Porque mi cielo le hubieras contado 
26/07/23 15:26 - Pika:  Te amo más 
12/11/23 00:05 - Pika:  Bien cariño mío 
08/10/24 14:00 - Pika:  La Vd el día estuvo muy muy rápido 
28/07/24 14:52 - Pika:  Mmmm bueno esta bien bebé 
26/09/24 06:06 - Pika:  Tu mamá ya no está enojada? 
25/01/23 20:19 - Pika:  Yo mas preciosa hermosa 
16/06/23 14:55 - Pika:  Me mandas una foto 
05/10/24 13:17 - Pika:  Si mi amor la vd si 
09/12/23 03:02 - Pika:  Mi amor me mandas una foto? 
27/04/24 13:20 - Pika:  Chin mi amor 
01/05/23 11:30 - Pika:  Te amo micielo 
31/10/23 17:23 - Pika:  Eres la más bonita 
16/01/23 02:57 - Pika:  voy 
28/01/24 00:38 - Pika:  Yo mas mi cielo 
26/03/23 15:29 - Pika:  Pero tu más bonita mi cielo 
04/02/24 15:02 - Pika:  Te amo más más más 
10/10/23 19:19 - Pika:  Mi amor 
07/03/23 04:15 - Pika:  Tienes tarea? 
13/02/23 11:00 - Pika:  Es que yo si bebé pero quiero estar contigo 
18/04/23 21:32 - Pika:  Entonces no se si quieras que hagamos tarea juntos :) 
23/04/24 12:16 - Pika:  Yo más cariño 
04/10/23 09:16 - Pika:  Oh 
02/08/24 08:29 - Pika:  Siiiiii bebé 
15/01/24 16:01 - Pika:  Bueno es descargar unas cosas 
24/09/24 17:06 - Pika:  Entonces es sencillo y 
07/10/24 17:28 - Pika:  Y también buscar una info 
14/04/23 21:25 - Pika:  Vale cariño 
25/12/23 19:07 - Pika:  Trataré de apurarme 
07/07/23 10:32 - Pika:  Ya llegué bebé 
19/09/23 21:43 - Pika:  Te amo más preciosa 
15/06/23 09:28 - Pika:  Voy a dejar a mis tíos 
16/06/23 04:26 - Pika:  Perdón mi cielo me quede dormido 
08/03/24 11:33 - Pika:  Es que llegamos Comi a las 11 y me quede dormido 
16/09/24 17:39 - Pika:  Si bebé preciosa 
01/09/24 02:46 - Pika:  Perdóname amor no te dije buenos días 
23/09/23 06:12 - Pika:  Buenos días preciosa te amo más 
29/12/23 07:35 - Pika:  Ya llegué a mi escuela bebé preciosa 
26/05/24 18:52 - Pika:  Twiiiiins cariño 
16/02/23 01:00 - Pika:  Si bebé bonita bebebe 
20/07/24 20:54 - Pika:  Buenos días cariño 
05/06/24 03:16 - Pika:  Yo tambn bebé 
06/05/24 16:24 - Pika:  Bn amor hemrosa peeciosa 
24/04/24 14:45 - Pika:  Como vas preciosa? 
22/02/24 14:06 - Pika:  Ntp ntp 
23/08/24 22:24 - Pika:  Si bebé 
25/06/24 08:31 - Pika:  Como estás bebé? 
14/02/24 01:37 - Pika:  Si bebé 
23/07/23 01:03 - Pika:  No maaaa foto o fake 
20/11/23 09:43 - Pika:  Jijijiji 
16/10/23 12:08 - Pika:  Mariana Gto 
23/06/24 09:23 - Pika:  Foto 
30/06/23 10:59 - Pika:  Ala brevedad por favor 
12/10/24 18:43 - Pika:  Si gracias 
20/05/24 10:07 - Pika:  Bn, ya estás mejor con tus amigas bebé? 
08/08/23 12:32 - Pika:  Mmmm era faje 
29/01/23 16:43 - Pika:  Fake 
14/01/23 15:05 - Pika:  ❤️❤️❤️ 
15/08/23 11:44 - Pika:  Ola te amo 
19/02/23 06:12 - Pika:  Me mandas 5 fotos? 
13/06/24 04:03 - Pika:  A la brevedad 
08/02/23 16:49 - Pika:  Q bueno bebé 
30/10/24 10:10 - Pika:  Te caché mariana 
24/10/23 14:49 - Pika:  Yo mas 
21/07/24 20:43 - Pika:  No cierto 
03/07/24 14:49 - Pika:  Ándale 
19/11/23 09:45 - Pika:  Ya salí bebé 
24/05/24 19:54 - Pika:  Ya llegué a mi casa precisoa 
06/05/24 22:42 - Pika:  Bueno 1 mi amor 
30/05/24 12:38 - Pika:  Te amo más preciosa bonita 
24/01/24 11:34 - Pika:  Bien amor hemrosa 
25/02/24 10:45 - Pika:  Vaaaa si bebé 
06/07/24 07:14 - Pika:  Bebé 
19/01/24 23:45 - Pika:  Perdon 
21/02/23 00:20 - Pika:  No creo poder ir a comer 
20/12/23 19:30 - Pika:  Acabo de ver esto que pusieron esto 
12/09/24 13:29 - Pika:  Si mi amor hermosa 
07/02/24 06:11 - Pika:  Porfis 
21/07/23 11:33 - Pika:  Bueno está bien mi amor no te preocupes 
20/10/24 22:14 - Pika:  Te amo más más bebé 
02/08/24 22:34 - Pika:  Si bebé 
07/10/24 21:40 - Pika:  Oki mi amor hemroda 
29/08/23 22:43 - Pika:  Ah vale vale 
12/07/24 02:21 - Pika:  No bebé no creo poder 
30/09/24 07:18 - Pika:  Es que no sabia que me habían puesto la junta a esa hora bebé 
07/09/23 20:38 - Pika:  Te amo más más bebé preciosa 
30/06/23 13:17 - Pika:  Gracias amor 
29/09/24 09:39 - Pika:  Perdón mi amor hermosa 
01/03/23 06:42 - Pika:  Te amo mas mas mi cielo 
02/05/24 13:40 - Pika:  Que bueni mi cielo 
17/08/23 16:28 - Pika:  Quien pasó por ti bebé? 
26/11/23 20:43 - Pika:  Ah muy bn bebé preciosa 
25/09/23 23:06 - Pika:  No maaaa 
28/05/24 04:41 - Pika:  Muy bn mi amor 
22/09/23 00:25 - Pika:  La vas a sacar a pasear bebé? 
11/04/24 05:51 - Pika:  Que bueno bebé 
15/03/23 00:02 - Pika:  No ma bebé que comieron mi ielo? 
27/08/23 22:00 - Pika:  ooooh no, talvez deberías de ajustarlo un poco más cariño 
09/11/23 12:14 - Pika:  NOoooOooOooOo 
25/05/24 21:27 - Pika:  JAJAJAJAJAJAJJAJAJA 
19/01/24 21:52 - Pika:  XD 
07/06/23 07:10 - Pika:  Yo apenas Comi bebé 
06/10/24 23:01 - Pika:  No maaa que rico bebé 
15/02/24 18:51 - Pika:  Si bebe 
21/03/23 14:47 - Pika:  No ma se mamo 
05/10/23 03:50 - Pika:  Vine a mi reposición de música cariño 
07/05/24 11:27 - Pika:  Y creo que nadie me va a dar la reposición 
07/11/23 01:47 - Pika:  XD 
20/03/23 22:36 - Pika:  Ya estoy en mi casa bebé 
15/08/24 20:16 - Pika:  Es que tuve mi junta a las 4 bebé 
11/11/23 10:23 - Pika:  Y estuve haciendo tarea y asi amor 
30/04/24 06:40 - Pika:  Al final si me la dieron bebé me gustó mucho 
01/12/23 00:41 - Pika:  Muy bn mi cielo preciosa 
08/04/24 16:21 - Pika:  Ay es que ayer nos dormimos tarde mi amor 
04/07/23 20:14 - Pika:  Si bebé 
14/05/24 03:20 - Pika:  De canto bebé pero fue con otro profesor y la vd estuvo epico 
10/08/24 14:12 - Pika:  No bebé de canto 
09/06/23 11:45 - Pika:  uy bien mi cielo 
03/05/24 17:15 - Pika:  A donde iran? 
11/01/24 16:10 - Pika:  Te amo preciosa 
15/10/24 22:30 - Pika:  Chin mi amor hermosa 
22/09/24 01:06 - Pika:  No te preocupes bebé no te duemres siempre toda la tarde o si bebé? 
01/10/23 07:33 - Pika:  Es que canté cosas que nunca había cantado 
15/03/23 19:22 - Pika:  Como el triste de josé josé xd 
27/08/24 13:14 - Pika:  Pero me gusta mucho cantarla 
09/01/23 19:15 - Pika:  gustó 
12/11/23 16:22 - Pika:  ah VALE MUY BN BEBÉ 
27/06/23 22:37 - Pika:  oYE MI AMOR 
27/05/23 19:45 - Pika:  No tienes fotos en donde salga con Davi? 
29/10/23 05:13 - Pika:  Es que no tengo 
26/10/24 08:50 - Pika:  Es que estaban en mi otro celular bebé 
26/01/23 19:32 - Pika:  YO mas mas mas mi amor 
02/03/23 02:31 - Pika:  Entons no te preocupes bebé 
20/03/23 10:24 - Pika:  Si mi cielo 
23/02/23 21:59 - Pika:  Gracias bebé te agradezcooooo 
19/07/24 15:10 - Pika:  Que viste bebé 
19/03/23 00:22 - Pika:  No he pasó bebé 
13/01/23 05:45 - Pika:  Chin y después que pasó bebé? 
23/10/23 21:30 - Pika:  No maaaaa 
31/03/23 02:06 - Pika:  Chiiiiin bebé 
18/06/23 14:29 - Pika:  Es que no ma que fuerte bebé 
26/09/24 21:15 - Pika:  Mmm puede ser que si bebé 
20/09/24 06:19 - Pika:  No ma bebé 
11/06/24 18:45 - Pika:  Tengo que exportar un chat 
12/05/24 01:31 - Pika:  Para una práctica de la escuela 
09/02/24 01:46 - Pika:  Para hacer un predictor de texto 
26/01/23 15:03 - Pika:  Mariana131021 
30/05/24 15:32 - Pika:  Espero que te recuperes pronto 👍👍👍 
27/08/24 16:15 - Pika:  Ola 
07/04/24 14:35 - Pika:  Yo mo amigo 
05/11/23 16:05 - Pika:  Te fallo 
19/08/24 13:55 - Pika:  Me perdí 😭😭😭😭 
21/07/23 17:01 - Pika:  Según Google Maps llegó en 5 
07/03/24 07:54 - Pika:  Hola Liz, buenas noches ejeje :) 
